planID,studyWeek,task,isCompleted,notes
RP0001,Week 1,Analyse exam mistakes and revise core chapters.,true,
RP0001,Week 2,Attend revision or tutorial class for exam topics.,true,
RP0001,Week 3,Complete 3 sets of past-year practice questions.,true,
RP0001,Week 4,Attempt mock test and evaluate performance.,true,
RP0002,Week 1,Review feedback for both assignment and exam.,true,
RP0002,Week 2-3,Attend consultation for coursework + exam planning.,false,
RP0002,Week 4,Submit coursework improvement draft.,false,
RP0002,Week 5-6,Complete revision of exam chapters and attempt practice test.,false,
RP0002,Week 7,Final assignment submission + exam reattempt preparation.,false,
RP0002,Week 8,Assignment Re-submission,false,
RP0003,Week 1,Review feedback for both assignment and exam.,false,
RP0003,Week 2-3,Attend consultation for coursework + exam planning.,false,
RP0003,Week 4,Submit coursework improvement draft.,false,
RP0003,Week 5-6,Complete revision of exam chapters and attempt practice test.,false,
RP0003,Week 7,Final assignment submission + exam reattempt preparation.,false,
RP0004,Week 1,Review feedback for both assignment and exam.,false,
RP0004,Week 2-3,Attend consultation for coursework + exam planning.,false,
RP0004,Week 4,Submit coursework improvement draft.,false,
RP0004,Week 5-6,Complete revision of exam chapters and attempt practice test.,false,
RP0004,Week 7,Final assignment submission + exam reattempt preparation.,false,
RP0005,Week 1,Review feedback for both assignment and exam.,false,
RP0005,Week 2-3,Attend consultation for coursework + exam planning.,false,
RP0005,Week 4,Submit coursework improvement draft.,false,
RP0005,Week 5-6,Complete revision of exam chapters and attempt practice test.,false,
RP0005,Week 7,Final assignment submission + exam reattempt preparation.,false,
RP0007,Week 1,Register for full course retake and review syllabus.,false,
RP0007,Week 2,Attend first consultation to plan retake strategy.,false,
RP0007,Week 3-5,Submit compulsory coursework with improvement plan.,false,
RP0007,Week 6-11,Attend revision session for overall course topics.,false,
RP0007,Week 12,Attempt final assessment for retake course.,false,
